Using brute force collision detection.
         33958108 function calls (33954601 primitive calls) in 51.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     21/8    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
      159    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:129(_new_module)
     1353    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        9    0.000    0.000    0.001    0.000 datetime.py:302(__new__)
      112    0.000    0.000    0.001    0.000 genericpath.py:27(isfile)
       81    0.000    0.000    0.001    0.000 sre_parse.py:265(_class_escape)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
       57    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__exit__)
       23    0.000    0.000    0.000    0.000 core.py:6058(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method urandom}
        5    0.000    0.000    0.000    0.000 __init__.py:41(__init__)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:92(_path_isdir)
       23    0.000    0.000    0.000    0.000 core.py:6063(getdoc)
      664    0.000    0.000    0.000    0.000 sre_parse.py:150(append)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:45(_r_long)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2124(__exit__)
      157    0.000    0.000    0.000    0.000 sre_compile.py:315(_simple)
      250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:790(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
      156    0.000    0.000    0.000    0.000 os.py:628(__getitem__)
        1    0.000    0.000    0.000    0.000 pickle.py:180(<listcomp>)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2120(__enter__)
        6    0.000    0.000    0.000    0.000 abc.py:178(__instancecheck__)
     1607    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      100    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
      101    0.000    0.000    0.000    0.000 re.py:153(match)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1726(is_package)
       67    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      101    0.000    0.000    0.000    0.000 pkg_resources.py:536(__iter__)
       58    0.000    0.000    0.000    0.000 sre_parse.py:190(__init__)
       72    0.000    0.000    0.000    0.000 {built-in method is_builtin}
      383    0.000    0.000    0.000    0.000 os.py:704(encode)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
       54    0.000    0.000    0.000    0.000 enum.py:51(__setitem__)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1336(find_spec)
      489    0.000    0.000    0.000    0.000 _collections_abc.py:502(__iter__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:663(copy)
       17    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1979(__init__)
       76    0.000    0.000    0.000    0.000 os.py:636(__setitem__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:305(_add_aliases)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1412(get_metadata_lines)
       31    0.000    0.000    0.000    0.000 {built-in method warn}
      544    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2577(DistInfoDistribution)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1407(get_metadata)
        6    0.000    0.000    0.000    0.000 pkg_resources.py:2050(normalize_path)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
      119    0.000    0.000    0.000    0.000 sre_parse.py:307(_escape)
      559    0.000    0.000    0.000    0.000 sre_parse.py:138(__len__)
      110    0.000    0.000    0.000    0.000 {built-in method getcwd}
     1650    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        6    0.000    0.000    0.000    0.000 posixpath.py:369(realpath)
        1    0.000    0.000    0.000    0.000 message.py:106(Message)
      365    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
     1320    0.000    0.000    0.000    0.000 {built-in method release_lock}
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
      769    0.000    0.000    0.000    0.000 {built-in method min}
       40    0.000    0.000    0.000    0.000 _inspect.py:120(getargspec)
        4    0.000    0.000    0.000    0.000 {built-in method dir}
       35    0.000    0.000    0.000    0.000 sre_parse.py:224(getwhile)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
        3    0.000    0.000    0.000    0.000 pkg_resources.py:1513(_get)
        6    0.000    0.000    0.000    0.000 abc.py:151(register)
      204    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       18    0.000    0.000    0.000    0.000 sre_compile.py:302(_mk_bitmap)
     1173    0.000    0.000    0.000    0.000 {built-in method get_ident}
     1200    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       75    0.000    0.000    0.000    0.000 os.py:642(__delitem__)
      115    0.000    0.000    0.000    0.000 pkgutil.py:397(get_importer)
        1    0.000    0.000    0.000    0.000 pkgdata.py:34(getResource)
        1    0.000    0.000    0.000    0.000 __init__.py:266(_reset_cache)
      521    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      269    0.000    0.000    0.000    0.000 {built-in method add_docstring}
      104    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:842(parent)
       19    0.000    0.000    0.000    0.000 nosetester.py:181(__init__)
      273    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        6    0.000    0.000    0.000    0.000 posixpath.py:377(_joinrealpath)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
      225    0.000    0.000    0.000    0.000 os.py:651(__iter__)
      297    0.000    0.000    0.000    0.000 os.py:708(decode)
      636    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:742(<genexpr>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
      196    0.000    0.000    0.000    0.000 {built-in method setattr}
